Ea,Eb,Ec,Cond.
3903010763.834,3420487177.35703,525011570.333109,Normal
3903010757.55188,3420487145.39453,525011589.074206,Normal
3903010751.24289,3420487112.70252,525011608.248304,Normal
3903010744.92373,3420487079.73452,525011627.586217,Normal
3903010738.57121,3420487045.86029,525011647.46203,Normal
3903010732.21195,3420487011.80366,525011667.446116,Normal
3903010794.94953,3420487329.26675,525011481.318208,Normal
3903010788.77001,3420487300.09442,525011498.403165,Normal
3903010782.56179,3420487270.14302,525011515.950553,Normal
3903010776.33915,3420487239.80045,525011533.730113,Normal
3903010770.09384,3420487208.84268,525011551.874839,Normal
3903010763.82796,3420487177.32628,525011570.351144,Normal
3903010757.54559,3420487145.36255,525011589.092963,Normal
3903010751.23632,3420487112.66825,525011608.268403,Normal
3903010744.91693,3420487079.69899,525011627.60706,Normal
3903010738.5641,3420487045.82237,525011647.484283,Normal
3903010732.20458,3420487011.76326,525011667.469825,Normal
3903010794.94478,3420487329.24448,525011481.331243,Normal
3903010788.76501,3420487300.07025,525011498.417333,Normal
3903010782.55653,3420487270.11769,525011515.965395,Normal
3903010776.33363,3420487239.77308,525011533.746159,Normal
3903010770.08808,3420487208.81412,525011551.891582,Normal
3903010763.82192,3420487177.29555,525011570.36916,Normal
3903010757.5393,3420487145.33058,525011589.111699,Normal
3903010751.22976,3420487112.63403,525011608.288479,Normal
3903010744.91012,3420487079.66349,525011627.627881,Normal
3903010738.55701,3420487045.78448,525011647.506512,Normal
3903010732.1972,3420487011.72291,525011667.493509,Normal
3903010794.94004,3420487329.22225,525011481.344261,Normal
3903010788.75999,3420487300.04608,525011498.431484,Normal
3903010782.55129,3420487270.09238,525011515.980221,Normal
3903010776.32811,3420487239.74574,525011533.762186,Normal
3903010770.08232,3420487208.78559,525011551.908307,Normal
3903010763.81588,3420487177.26486,525011570.387154,Normal
3903010757.53302,3420487145.29866,525011589.130416,Normal
3903010751.22319,3420487112.59984,525011608.308533,Normal
3903010744.90333,3420487079.62803,525011627.648679,Normal
3903010738.54994,3420487045.74664,525011647.528717,Normal
3903010732.18983,3420487011.68261,525011667.517163,Normal
3903010794.9353,3420487329.20004,525011481.357267,Normal
3903010788.75498,3420487300.02196,525011498.44562,Normal
3903010782.54604,3420487270.0671,525011515.995032,Normal
3903010776.32259,3420487239.71842,525011533.778196,Normal
3903010770.07656,3420487208.75707,525011551.925014,Normal
3903010763.80985,3420487177.23421,525011570.405129,Normal
3903010757.52676,3420487145.26678,525011589.14911,Normal
3903010751.21665,3420487112.56569,525011608.328565,Normal
3903010744.89653,3420487079.59262,525011627.669453,Normal
3903010738.54287,3420487045.70885,525011647.550897,Normal
3903010732.18248,3420487011.64235,525011667.540794,Normal
3903010794.93057,3420487329.17786,525011481.370257,Normal
3903010788.75,3420487299.99786,525011498.459741,Normal
3903010782.54082,3420487270.04185,525011516.009826,Normal
3903010776.31709,3420487239.69114,525011533.79419,Normal
3903010770.07082,3420487208.7286,525011551.941703,Normal
3903010763.80383,3420487177.20358,525011570.423086,Normal
3903010757.52051,3420487145.23493,525011589.167785,Normal
3903010751.21012,3420487112.53157,525011608.348575,Normal
3903010744.88975,3420487079.55724,525011627.690205,Normal
3903010738.5358,3420487045.67109,525011647.573052,Normal
3903010732.17511,3420487011.60214,525011667.5644,Normal
3903010794.92585,3420487329.1557,525011481.383235,Normal
3903010788.74501,3420487299.97378,525011498.473846,Normal
3903010782.53559,3420487270.01662,525011516.024603,Normal
3903010776.31159,3420487239.66389,525011533.810164,Normal
3903010770.06509,3420487208.70016,525011551.958373,Normal
3903010763.79783,3420487177.17299,525011570.441022,Normal
3903010757.51425,3420487145.20312,525011589.18644,Normal
3903010751.20358,3420487112.4975,525011608.368563,Normal
3903010744.88298,3420487079.5219,525011627.710936,Normal
3903010738.52874,3420487045.63337,525011647.595184,Normal
3903010732.16777,3420487011.56197,525011667.587979,Normal
3903010794.92113,3420487329.13357,525011481.396196,Normal
3903010788.74002,3420487299.94973,525011498.487937,Normal
3903010782.53036,3420487269.99143,525011516.039363,Normal
3903010776.30609,3420487239.63665,525011533.826121,Normal
3903010770.05935,3420487208.67175,525011551.975025,Normal
3903010763.79182,3420487177.14243,525011570.458937,Normal
3903010757.50801,3420487145.17134,525011589.205074,Normal
3903010751.19705,3420487112.46346,525011608.388528,Normal
3903010744.87621,3420487079.4866,525011627.731641,Normal
3903010738.52169,3420487045.59569,525011647.61729,Normal
3903010732.16044,3420487011.52184,525011667.611531,Normal
3903010794.91642,3420487329.11146,525011481.409145,Normal
